0	0	0	0	0	0	0	0	0	24	39	37	0.0	
0	1	0	0	0	0	0	0	0	24	38	37	0.5	
0	0	1	0	-33	33	0	33	-33	24	71	3	1.0	
1	0	0	0	-2	2	0	2	-2	23	73	1	1.5	
1	0	0	2	-2	0	-2	2	0	20	75	1	2.0	
1	0	0	0	-1	1	0	1	-1	19	76	0	2.5	
1	0	0	2	-2	0	-2	2	0	16	78	0	3.0	
1	0	0	0	0	0	0	0	0	15	78	0	3.5	
1	0	0	2	-2	0	-2	2	0	12	80	0	4.0	
1	0	0	0	0	0	0	0	0	11	80	0	4.5	
1	0	0	2	-2	0	-2	2	0	8	82	0	5.0	
1	0	0	0	0	0	0	0	0	7	82	0	5.5	
1	0	0	2	-2	0	-2	2	0	4	84	0	6.0	
1	0	0	0	0	0	0	0	0	3	84	0	6.5	
1	0	0	2	-2	0	-2	2	0	0	86	0	7.0	
0	86	0	0	0	0	0	0	0	0	0	0	3705.0	
0	0	0	0	0	0	0	0	0	0	0	0	3705.0	
0	0	0	0	0	0	0	0	0	0	0	0	3705.0	
0	0	0	0	0	0	0	0	0	0	0	0	3705.0	
0	0	0	0	0	0	0	0	0	0	0	0	3705.0	
0	0	0	0	0	0	0	0	0	0	0	0	3705.0	
