0	0	0	0	0	0	0	0	0	39	25	36	0.0	
1	0	0	0	0	0	0	0	0	38	25	36	0.5	
0	0	1	-33	0	33	2	31	-33	40	56	2	1.0	
0	1	0	-33	33	0	0	-2	2	40	53	4	1.5	
0	1	0	-29	29	0	2	-2	0	42	50	4	2.0	
0	1	0	-26	26	0	0	-1	1	42	48	5	2.5	
0	1	0	-23	23	0	2	-2	0	44	45	5	3.0	
0	1	0	-20	20	0	0	0	0	44	44	5	3.5	
0	1	0	-18	18	0	2	-2	0	46	41	5	4.0	
0	1	0	-16	16	0	0	0	0	46	40	5	4.5	
0	1	0	-14	14	0	2	-2	0	48	37	5	5.0	
0	1	0	-12	12	0	0	0	0	48	36	5	5.5	
0	1	0	-10	10	0	2	-2	0	50	33	5	6.0	
0	1	0	-9	9	0	-31	0	31	19	32	36	6.5	
0	0	1	-31	0	31	33	-2	-31	52	30	4	7.0	
0	1	0	-6	6	0	0	0	0	52	29	4	7.5	
0	1	0	-5	5	0	0	0	0	52	28	4	8.0	
52	0	0	-5	5	0	0	0	0	0	28	4	1360.0	
0	28	0	0	0	0	0	0	0	0	0	4	1752.0	
0	0	4	0	0	0	0	0	0	0	0	0	1760.0	
0	0	0	0	0	0	0	0	0	0	0	0	1760.0	
